"country","began","duration","area","magnitude","x","y"
"USA",35970,8,18117,5,-71.9,44.2
"USA",35960,2,4081,4,-120.5,37.4
"USA",35959,5,73860,6,-93.1,39.8
"USA",35959,7,19951,5,-70.7,44
"USA",35943,7,26250,5,-120.3,44.5
"USA",35926,3,15355,5,-75.2,40
"USA",35923,3,1697,4,-73.1,42.2
"USA",35911,3,287302,6,-95.4,35.4
"USA",35902,5,79603,6,-81.8,35.6
"USA",35900,3,70592,5,-84.4,39.6
"USA",35885,8,46557,6,-71.1,44.1
"USA",35875,3,39687,5,-82.1,32.4
"USA",35874,5,19146,5,-82.3,28.5
"USA",35861,7,185210,6,-86.4,32.7
"USA",35829,19,63271,6,-119.7,35.2
"USA",35829,22,265450,7,-80.5,33.4
"USA",35782,5,54842,5,-97,31.5
"USA",35611,4,16279,5,-83.7,42.8
"USA",35600,5,155894,6,-97.5,29.5
"USA",35425,9,717982,7,-120,41.3
"USA",35652,3,7779,4,-112.6,35.8
"USA",35636,8,15185,5,-105,40.4
"USA",35511,35,282467,7,-95.4,45.9
"USA",35504,5,65906,6,-122.4,47.1
"USA",35489,16,179911,7,-84.8,37.9
"USA",35482,5,30333,5,-89.1,41.8
"USA",35431,32,156687,7,-120.7,37.5
"USA",35425,9,272685,6,-122.2,46.4
"USA",35357,5,67014,6,-72.3,42.3
"USA",35326,3,5542,4,-100.9,36
"USA",35313,9,293738,6,-78.5,37.1
"USA",35264,4,53522,6,-79.2,41
"USA",35226,21,18336,6,-77.5,39.7
"USA",35198,8,63664,6,-81.2,38.4
"USA",35198,8,394868,6,-88,39.1
"USA",35102,7,482618,7,-120,45.6
"USA",35079,7,136059,6,-79.1,41.4
"USA",35031,13,111710,6,-122.7,46.5
"USA",34985,16,34849,6,-81,26.6
"USA",34976,5,203496,6,-84.4,30.6
"USA",34960,29,50390,6,-149.8,60.9
"USA",34937,4,176801,6,-79.5,33.6
"USA",34918,12,118253,6,-82.6,39.5
"USA",34829,23,472142,7,-89.6,36.7
"USA",34826,7,19345,5,-90.1,29.9
"USA",34766,13,196020,6,-121.6,38.7
"USA",34702,15,81499,6,-122.6,39.6
"USA",34624,7,72987,6,-95.3,30.2
"USA",34516,15,167723,6,-84.3,31.1
"USA",34507,6,13311,5,-83.7,37
"USA",34433,10,644301,7,-98,36.9
