"country","began","duration","area","magnitude","x","y"
"China",41493,69,1430156,8,130.3,50.5
"Pakistan",41493,15,462763,7,69.1,28.7
"Burma/Myanmar",41480,14,125251,6,98.2,18.3
"USA",41491,3,123143,6,-94.2,38.2
"Russia",41487,7,102479,6,128.4,50
"Pakistan",41487,7,549425,7,70.6,32.8
"Sudan",41487,21,1004639,8,29,13.7
"Kenya",41491,3,9047,4,35.2,1.7
"Paraguay",41459,12,131223,6,-57.7,-24.1
"North Korea",41465,6,21695,5,126.3,39.6
"China",41466,5,112221,6,108.4,23.1
"China",41468,3,101851,6,118.1,25.9
"China",41460,11,419827,7,104,30.5
"Laos",41448,5,32197,5,104.8,17.7
"India",41448,23,38019,6,94.9,27.4
"Canada",41445,8,307926,7,-109.6,51.2
"India",41436,8,152700,6,82.5,22
"New Zealand",41440,4,42497,5,170.7,-44.4
"India",41437,16,131743,6,76.6,32.7
"USA",41419,10,170079,6,-91.6,37.1
"Germany",41422,22,241204,7,12.1,49.1
"Norway",41416,7,28072,5,10.5,61.3
"USA",41419,10,123500,6,-93.4,41.9
"USA",41419,4,33908,5,-98.9,28.9
"Columbia",41420,3,125895,6,-74.5,3.7
"Sri Lanka",41407,4,17254,5,80.5,7.1
"China",41406,17,84762,6,114.5,23.6
"Bangladesh",41408,3,72848,6,91.2,23.6
"Somalia",41395,16,243476,7,43.7,2.2
"Indonesia",41400,11,17153,5,98.6,3.8
"Russia",41400,11,630162,7,133.3,68.2
"Afghanistan",41387,7,14653,5,68.8,36.9
"USA",41391,3,43181,5,-97.6,48.6
"USA",41386,8,493137,7,-88.6,38.8
"Saudi Arabia",41389,22,814307,7,52.4,22.8
"Somalia",41369,25,27293,6,45.7,3.4
"Albania",41348,29,3305,5,19.6,42
"Argentina",41365,7,18135,5,-58.7,-34.5
"Mauritius",41364,4,1680,4,57.5,-20.2
"South Sudan",41358,10,215663,7,31.2,6.1
"Kenya",41361,33,73170,7,36.7,2.5
"Spain",41364,4,53241,6,-3.8,40.3
"Peru",41343,8,740438,7,-71,-16.5
"Portugal",41347,4,2986,4,-25.5,37.8
"France",41342,9,5910,5,2.5,43.3
"Spain",41346,5,12282,5,-2.9,37.9
"Namibia",41334,17,100905,6,22.6,-17.8
"Macedonia",41330,8,3700,4,21.6,42
"Thailand",41330,8,9340,5,101.3,6.5
"Australia",41330,8,240506,6,149.8,-25
"Malaysia",41315,23,30584,6,102,4.3
"Indonesia",41325,13,4202,5,104.3,-2.4
"Russia",41325,13,2432,4,39.2,44.3
"Indonesia",41321,3,28874,5,124.5,1
"Indonesia",41321,3,21654,5,100.6,0.7
"Papua New Guinea",41244,74,245462,7,144.5,-5.9
"Peru",41313,5,577783,7,-69.1,-20.3
"Botswana",41289,18,198590,7,25.1,-20.4
"Seychelles",41301,6,452,4,55.4,-4.6
"Australia",41296,11,1021219,7,144.8,-19.4
"Mozambique",41291,47,83155,7,32.7,-24.8
"Kenya",41287,5,71113,6,36.5,0.1
"Malawi",41228,69,20096,6,35.2,-15.6
"Indonesia",41287,10,1746,5,106.7,-6.2
"Palestine",41282,3,29143,5,36.5,32.8
"Sri Lanka",41282,10,26063,6,80.9,7.6
"Peru",41278,7,318649,7,-76.5,-9.3
"Philippines",41278,7,51782,6,125.3,7.3
"Philippines",41277,8,6144,5,118.6,9.9
"Malaysia",41277,8,29318,5,101.7,5.5
"Indonesia",41277,8,67600,6,121.9,-3.9
"Russia",41280,5,5668,5,39.1,44.3
"South Africa",41254,3,21011,5,30.1,-30.6
"Sri Lanka",41259,3,49085,5,80.8,8
"United Kingdom",41233,29,106807,6,-1.2,53.5
"Malaysia",41244,4,31979,5,103.1,2.6
"Argentina",41233,15,377213,7,-59.6,-27.5
"Turkey",41245,3,15307,5,28.7,39.5
"Philippines",41247,1,68024,5,124.5,8
"Italy",41224,8,66843,6,12.4,43.2
"Spain",41226,6,12227,5,-3.6,37.1
"Malaysia",41217,5,55785,5,102.6,2.9
"India",41217,5,126083,6,78.8,11.8
"Viet Nam",41206,6,158124,6,105.5,19.1
"South Africa",41206,6,14489,5,26.6,-32.9
"Canada",41207,5,1592,4,-84.6,48.4
"USA",41206,6,293995,7,-75.2,39.9
"Russia",41191,7,10482,5,47.6,42.3
"Chad",41167,31,86062,6,20.5,11.1
"Niger",41167,31,121036,7,3,14.3
"Iran",41194,4,11490,5,54.3,36.5
"Somalia",41174,12,13754,5,44.9,4.9
"South Sudan",41159,27,138744,7,29.6,9.6
"UK",41175,4,8507,5,-2.1,54.4
"USA",41172,7,8846,5,-149.9,63.2
"Nigeria",41167,45,12538,6,6.3,5.5
"India",41171,27,42598,6,93.6,26.8
"China",41161,10,56960,6,107.2,30.4
"Thailand",41164,15,44011,6,99.6,17.1
"Pakistan",41162,50,23036,6,68.8,28
"India",41168,3,37711,5,76.9,31.3
"The Gambia",41154,6,4747,4,-16.2,13.4
"Kenya",41136,24,18460,6,35.8,1.4
"Uganda",41141,19,57981,6,32.7,2.7
"North Korea",41138,22,24179,6,126.2,38.2
"Vietnam",41154,6,16826,5,105.5,19.1
"USA",41149,11,83938,6,-89.3,30.5
"Nigeria",41146,33,96831,7,12.1,9.3
"China",41146,5,45131,6,106.1,37.4
"Pakistan",41144,7,98264,6,73.5,35
"Haiti",41146,5,4904,5,-72.3,19.1
"Nigeria",41145,6,48923,6,4.1,14.3
"Senegal",41145,6,79243,6,-15.5,14.5
"Myanmar",41105,46,219815,7,97.9,16.6
"Japan",41133,9,10670,5,135.6,34.6
"South Sudan",41122,29,456059,7,30.2,9.7
"Niger",41127,33,75977,7,3.9,14.6
"India",41137,5,29690,5,82.8,21
"China",41135,7,107984,6,103.7,31.2
"Nigeria",41123,5,16652,5,11.3,7.4
"China",41124,4,9560,5,122.6,40.5
"Scotland",41125,3,4261,4,-2.6,55.6
"Sudan",41125,3,89290,6,22.7,13.6
"India",41124,4,35690,5,82.3,19.4
"India",41125,3,31391,5,78.9,30.1
"China",41115,6,100601,6,110.8,34.8
"Costa Rica",41118,3,20821,5,-81.1,8.8
"Philippines",41118,10,59723,6,121,15.9
"North Korea",41110,18,33082,6,126,38.8
"Nigeria",41112,4,45292,5,8,10.6
"Philippines",41111,3,9577,5,121.2,15.2
"Indonesia",41110,4,8219,5,122.4,0.8
"Georgia",41109,5,19591,5,44.9,41.7
"China",41111,5,29832,5,117.7,42.3
"China",41099,17,92141,6,113,31.4
"USA",41103,4,24531,5,-95.8,29.6
"Japan",41094,13,7923,5,130.6,33.4
"Azerbaijan",41098,2,9903,4,28.8,46.9
"India",41094,20,2639,5,86.6,26.1
"Turkey",41093,7,6085,5,36.8,41
"Russia",41096,11,18552,6,38.5,44.9
"China",41082,11,2643787,8,106.9,33.5
"Afghanistan",41083,4,71505,6,65.1,33.6
"Canada",41080,7,213387,6,-122.8,53.9
"Bangladesh",41084,9,9560,5,92.1,22.2
"USA",41082,11,67995,6,-82.5,29
"USA",41069,4,20117,5,-85.5,30.4
"Taiwan",41069,4,18941,5,120.9,24.1
"Philippines",41068,5,23516,5,124.8,6.9
"India",41066,41,29190,6,92.4,26.6
"Canada",41066,7,673741,7,-132.1,61.4
"Honduras",41051,8,6519,5,-86.6,14.1
"Russia",41049,10,22717,6,157.9,68
"Uganda",41049,10,43316,6,33.3,1
"Afghanistan",41041,5,14163,5,70,37.1
"Georgia",41041,5,15849,5,44.5,42.1
"Tanzania",41042,4,45092,5,30.8,-2.4
"China",41037,9,1056108,7,106.5,32.5
"Brazil",41030,7,127883,6,-62,-3.6
"Afghanistan",41030,7,21755,5,64.2,34.3
"Nepal",41034,3,4395,4,83.8,28.5
"Columbia",41019,7,74036,6,-73.1,3.6
"Kenya",41019,27,12660,6,35,-0.2
"Saudi Arabia",41013,5,233126,6,51,20.6
"Paraguay",41004,22,120345,7,-59.3,-23.6
"Rwanda",41008,10,43618,6,29.4,-1.4
"Kenya",41008,18,117773,6,36.2,-2.4
"Russia",41007,19,681013,7,40.3,55.6
"Haiti",41007,19,35152,6,-72.6,19.4
"Philippines",40994,5,5046,4,123.3,13.6
"Canada",40993,6,5441,5,-67.5,46.6
"Fiji",40997,21,5580,5,178,-17.8
"Chile",40969,15,88871,6,-69.4,-52.8
"Ecuador",40969,26,39793,6,-79.5,-0.6
"Madagascar",40971,5,566734,7,46.9,-19
"Tanzania",40969,7,6852,5,34.8,-1.8
"Indonesia",40972,4,4597,4,116.1,-3.2
"Gaza",40972,4,594,3,34.5,31.5
"USA",40972,4,2046,4,-159.5,22.1
"Tunisia",40964,3,41624,5,8.7,35.1
"Brazil",40959,36,172064,7,-68,-10.5
"Indonesia",40959,8,194383,6,103.4,-2.6
"Nigeria",40959,8,50438,6,12.8,9.9
"Philippines",40959,8,39825,6,125.3,8.2
"Indonesia",40951,3,12054,5,106.7,-6.3
"Philippines",40951,3,870,4,122.1,7.2
"Greece",40942,4,9251,5,21,39.9
"Bulgaria",40940,6,47137,6,24.3,42.6
"Indonesia",40935,3,7754,5,112.5,-7.5
"Australia",40930,46,761154,8,146.6,-21.7
"Fiji",40930,16,4928,5,178.1,-17.8
"Mozambique",40925,29,269446,7,34.1,-21.5
"Angola",40892,26,45583,6,15.5,-6.3
"Brazil",40909,9,416575,7,-43.5,-19.5
"Thailand",40909,9,11666,5,99.4,8.8
"Indonesia",40895,18,2457,5,110.2,-7.4
"Sri Lanka",40894,6,2561,4,80.5,9.3
"Tanzania",40897,3,5901,5,39,-6.9
"Malaysia",40894,6,20022,5,103,2.6
"Philippines",40893,7,23574,6,124.9,8.5
"New Zealand",40890,5,3888,5,173.2,-41.5
"Indonesia",40889,6,1254,4,120,-0.9
"Kenya",40876,24,9789,6,36.1,0.4
"South Africa",40874,6,15385,5,30.1,-29.2
"Australia",40874,26,45038,6,149.4,-29.5
"Indonesia",40874,4,11294,5,100.4,1.7
"Philippines",40857,6,3076,4,125.9,8.1
"Columbia",40856,44,57194,7,-73.9,4.6
"Uganda",40856,42,22325,6,34.4,2.6
"Kenya",40856,7,41010,6,40.2,2.2
"Italy",40842,7,4696,5,9.3,44.4
"Ghana",40842,4,9830,5,-0.9,5.6
"Mexico",40826,23,311971,7,-100.8,18.3
"Turkey",40824,3,32113,5,28,39.1
"Algeria",40817,2,288785,6,1.7,29.6
"China",40817,10,24302,6,109,22.2
"Philippines",40814,5,18520,5,121.5,17.3
"India",40791,28,27752,6,86,20.7
"Sudan",40783,12,21720,5,25.6,13.1
"India",40780,20,33056,6,74,22.3
"Uganda",40775,20,37846,6,33.7,1.7
"Niger",40765,30,74520,7,4.6,15
"USA",40782,18,252913,7,-74.1,40.2
"Nigeria",40781,14,20014,6,4.5,8.7
"Pakistan",40780,5,47599,6,71.7,38.3
"China",40756,39,1215862,8,109.5,37.4
"Pakistan",40767,82,32667,7,69.1,25
"India",40770,25,50117,6,92.2,26.6
"Kenya",40770,25,20555,6,35.6,0.1
"India",40770,49,40942,7,86.2,26.4
"Cambodia",40765,98,13467,6,105.5,12
"India",40765,35,28684,6,88.3,22.3
"Afghanistan",40760,5,27921,5,70.5,35.2
"Thailand",40760,158,96786,7,102.8,17
"USA",40761,4,26045,5,-79.4,35.8
"Dominican Republic",40758,7,28022,5,-70.5,19.1
"South Korea",40751,14,17841,6,126.9,37.9
"Brazil",40747,7,129795,6,-52.6,-30.3
"India",40747,18,85510,6,80.9,28.5
"Ghana",40746,8,55103,6,-0.5,7.8
"Bangladesh",40745,9,19192,5,89,22.6
"China",40735,12,1341347,7,108.1,27.1
"Iran",40739,8,15700,5,44.8,38
"Brazil",40739,8,200669,6,-38.1,-8.7
"Nigeria",40739,8,103000,6,8.6,12.6
"Nepal",40726,21,46388,6,82.3,28.9
"Mexico",40725,6,185791,6,-98.8,22.1
"Dominican Republic",40726,5,43197,6,-71,18.9
"India",40725,22,27203,6,94,27.4
"India",40725,22,42377,6,86.2,26.1
"Laos",40717,7,36798,6,101.6,19.4
"USA",40714,17,16001,6,-101.3,48.3
"Russia",40709,15,189593,6,135,48.9
"Philippines",40722,2,6362,4,126,7.4
"Ivory Coast",40709,7,14449,5,-3.2,6
"China",40709,7,115469,6,102.6,37
"Pakistan",40710,6,31965,5,69.7,27.9
"Georgia",40712,4,26866,5,43.4,42
"India",40712,4,41240,5,85.9,20.8
"Australia",40705,11,98203,6,152.1,-29.8
"Norway",40702,6,56090,6,9.7,62.4
"Columbia",40696,12,236087,7,-74.2,5.7
"China",40695,29,431897,7,114.5,27.9
"Philippines",40699,17,71701,6,125.2,8.3
"Canada",40695,36,5634,5,-96.9,52.3
"Algeria",40697,4,191002,6,2.8,32.7
"Haiti",40698,10,1115,4,-72,18.6
"India",40695,13,20807,5,76.8,10.8
"USA",40698,56,23538,6,-99.5,43.5
"Serbia",40686,2,5465,4,20.9,43
"USA",40685,31,171531,7,-105.7,45.3
"Canada",40667,37,5274,6,-73,45.6
"Philippines",40671,4,3179,4,124.2,13.7
"Brazil",40671,4,288020,6,-40.1,-9.7
"USA",40664,40,239421,7,-90.8,34.1
"Indonesia",40656,3,9767,4,124.4,-9.7
"Venezuela",40648,11,37649,6,-64.8,7.7
"Columbia",40634,49,270434,7,-73.3,3.7
"Brazil",40654,5,306994,6,-52.9,-28.3
"Syria",40656,3,7089,4,41.6,36.9
"Tanzania",40642,41,137263,7,37.6,-6.6
"USA",40651,8,211221,6,-79.4,38.6
"Kazakhstan",40634,19,213195,7,53.7,51.4
"Indonesia",40634,10,17352,5,137.8,-4.4
"USA",40269,419,46208,8,-97.2,48.7
"Namibia",40617,36,102874,7,20.6,-18.2
"Malaysia",40633,2,31581,5,100.5,6.1
"Indonesia",40633,2,23979,5,99,3.3
"Thailand",40625,19,33575,6,99.3,8.7
"Malaysia",40626,2,7361,4,101.2,4.9
"Tasmania",40624,7,4650,5,147.3,-41.4
"Australia",40616,5,114051,6,122.7,-18.9
"Namibia",40603,18,47809,6,22.9,-18
"Brazil",40614,7,124445,6,-48.2,-23.8
"Philippines",40616,5,25964,5,125.1,8.1
"Lebanon",40612,2,2307,4,36.4,34.5
"Japan",40613,1,4767,4,140.8,37.8
"Australia",40609,22,457221,7,146.7,-19.8
"USA",40609,22,1163517,8,-83.6,36.8
"Indonesia",40612,2,41506,5,97.1,4.2
"Indonesia",40598,3,4198,4,115.1,-8.4
"Bolivia",40588,13,122140,6,-65.6,-16.5
"Peru",40584,17,135202,6,-71.8,-14.5
"Malaysia",40575,16,36530,6,102.8,2.7
"Afghanistan",40584,7,63338,6,64,35.1
"Lesotho",40575,16,19634,5,28.1,-29.5
"Philippines",40575,4,44522,5,124.9,7.1
"Sri Lanka",40575,14,19891,6,80.5,8.5
